696,762,18
35,331,18
457,780,18
600,720,18
886,625,18
686,34,18
667,321,18
1022,0,18
1001,583,18
628,525,18
10,536,18
980,117,18
218,317,18
684,264,18
953,469,18
299,474,18
184,12,18
215,230,18
1011,411,18
252,654,18
746,625,18
372,792,18
526,513,18
143,453,18
301,649,18
676,130,18
438,529,18
822,307,18
266,272,18
368,238,18
207,70,18
555,78,18
811,357,18
549,425,18
932,29,18
647,685,18
304,218,18
87,557,18
585,34,18
404,582,18
218,725,18
149,693,18
659,439,18
593,214,18
662,619,18
780,702,18
29,381,18
640,183,18
611,445,18
342,709,18
342,59,18
415,456,18
99,157,18
980,742,18
237,565,18
832,118,18
550,344,18
485,736,18
881,199,18
536,742,18
590,666,18
280,717,18
831,201,18
611,301,18
86,623,18
73,72,18
943,375,18
763,246,18
748,364,18
510,453,18
863,722,18
421,141,18
459,247,18
747,26,18
637,778,18
287,574,18
100,407,18
20,204,18
89,287,18
497,582,18
316,123,18
1013,234,18
113,9,18
866,543,18
84,348,18
714,502,18
389,673,18
11,139,18
985,692,18
155,117,18
