711,737,6
603,501,6
580,707,6
473,95,6
746,524,6
245,776,6
521,219,6
985,588,6
3,439,6
971,52,6
457,432,6
487,241,6
436,255,6
44,292,6
884,424,6
311,26,6
401,337,6
275,626,6
8,129,6
347,359,6
828,340,6
996,435,6
577,65,6
814,560,6
545,457,6
769,719,6
265,186,6
813,625,6
817,685,6
458,766,6
1005,130,6
966,743,6
640,285,6
326,673,6
912,32,6
991,294,6
214,77,6
320,462,6
844,585,6
175,495,6
1003,714,6
610,362,6
794,498,6
645,334,6
674,101,6
698,335,6
894,503,6
433,537,6
694,71,6
29,172,6
808,208,6
115,757,6
928,119,6
121,466,6
951,273,6
246,229,6
314,81,6
408,161,6
917,404,6
348,623,6
969,663,6
154,539,6
288,269,6
869,739,6
260,697,6
684,599,6
656,428,6
126,413,6
493,178,6
753,193,6
526,145,6
829,104,6
940,444,6
991,480,6
639,657,6
107,565,6
54,520,6
143,690,6
762,583,6
744,9,6
671,551,6
113,359,6
91,314,6
934,495,6
281,64,6
49,459,6
923,740,6
754,322,6
803,172,6
393,762,6
