Utilisateur,Methode,Densite,Taille,Num cbile,Temps,Correct
3,Bubble,90,18,1,"18,5899846553803",1
3,Bubble,90,18,2,"2,12063050270081",1
3,Bubble,90,18,3,"1,1356828212738",1
3,Bubble,90,18,4,"1,45614814758301",1
3,Bubble,90,18,5,"1,24762463569641",1
3,Bubble,90,18,6,"1,60026073455811",1
3,Bubble,90,18,7,"1,71195244789124",1
3,Bubble,90,18,8,"1,31962299346924",1
3,Bubble,90,18,9,"1,07160472869873",1
3,Bubble,90,18,10,"1,21763586997986",1
3,Bubble,90,18,11,"0,742285966873169",1
3,Bubble,90,18,12,"2,87193655967712",1
3,Bubble,90,18,13,"1,27974271774292",1
3,Bubble,90,18,14,"1,35298323631287",1
3,Bubble,90,18,15,"1,19248533248901",1
3,Bubble,90,18,16,"1,04688739776611",1
3,Bubble,90,18,17,"1,05684900283813",1
3,Bubble,90,18,18,"0,831393957138062",1
3,Bubble,90,18,19,"1,34479713439941",1
3,Bubble,90,18,20,"1,80781555175781",1
3,Bubble,90,18,21,"3,19976687431335",1
3,Bubble,90,18,22,"2,11234450340271",1
3,Bubble,90,18,23,"1,04707741737366",1
3,Bubble,90,18,24,"1,45716214179993",1
3,Bubble,90,18,25,"1,52758240699768",1
3,Bubble,90,18,26,"1,60692310333252",1
3,Bubble,90,18,27,"1,09677529335022",1
3,Bubble,90,18,28,"1,19243955612183",1
3,Bubble,90,18,29,"0,887583494186401",1
3,Bubble,90,18,30,"0,953171491622925",1
3,Normal,90,18,1,"1,73197674751282",1
3,Normal,90,18,2,"1,24828863143921",1
3,Normal,90,18,3,"1,28061032295227",1
3,Normal,90,18,4,"1,28738594055176",1
3,Normal,90,18,5,"1,05515313148499",1
3,Normal,90,18,6,"0,912592887878418",1
3,Normal,90,18,7,"1,76000571250916",0
3,Normal,90,18,7,"2,20817375183105",1
3,Normal,90,18,8,"0,895816326141357",1
3,Normal,90,18,9,"1,74318671226501",1
3,Normal,90,18,10,"0,912980079650879",1
3,Normal,90,18,11,"1,34305357933044",1
3,Normal,90,18,12,"1,24061250686646",1
3,Normal,90,18,13,"1,53447151184082",1
3,Normal,90,18,14,"0,785060882568359",0
3,Normal,90,18,14,"1,24043560028076",1
3,Normal,90,18,15,"1,02422738075256",1
3,Normal,90,18,16,"0,822940587997437",1
3,Normal,90,18,17,"2,14357972145081",1
3,Normal,90,18,18,"0,856622934341431",1
3,Normal,90,18,19,"1,57515382766724",1
3,Normal,90,18,20,"1,36864471435547",1
3,Normal,90,18,21,"1,19955396652222",1
3,Normal,90,18,22,"0,880272150039673",1
3,Normal,90,18,23,"1,34407496452332",1
